id,CHN201704160
version,2
info,visteam,PIT
info,hometeam,CHN
info,site,CHI11
info,date,2017/04/16
info,number,0
info,starttime,1:22PM
info,daynight,day
info,usedh,false
info,umphome,westj901
info,ump1b,wendh902
info,ump2b,fleta901
info,ump3b,porta901
info,howscored,park
info,pitches,pitches
info,oscorer,speaa701
info,temp,72
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,182
info,attendance,39422
info,wp,tailj001
info,lp,uehak001
info,save,
start,mercj002,"Jordy Mercer",0,1,6
start,marts002,"Starling Marte",0,2,8
start,mccua001,"Andrew McCutchen",0,3,9
start,freed001,"David Freese",0,4,3
start,cervf001,"Francisco Cervelli",0,5,2
start,harrj002,"Josh Harrison",0,6,5
start,gossp001,"Phil Gosselin",0,7,4
start,fraza001,"Adam Frazier",0,8,7
start,tailj001,"Jameson Taillon",0,9,1
start,schwk001,"Kyle Schwarber",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,9
start,russa002,"Addison Russell",1,5,6
start,heywj001,"Jason Heyward",1,6,8
start,contw001,"Willson Contreras",1,7,2
start,lestj001,"Jon Lester",1,8,1
start,baezj001,"Javier Baez",1,9,4
play,1,0,mercj002,30,BBBB,W
play,1,0,marts002,32,BBBC>F>F>F>F>S,K+CS2(24)/DP
play,1,0,mccua001,32,FBBSBX,T9/F
play,1,0,freed001,31,CB*BBX,63/G
play,1,1,schwk001,01,FX,S7/L+
play,1,1,bryak001,31,B*BBCX,54(1)3/G/DP/RINT/MREV
com,"replay,1,bryak001,CHN,westj901,CHI11,,Y,M,PIT,E"
com,"$when Kyle Schwarber was ruled to have made a legal"
com,"slide at 2B, Pirates manager Clint Hurdle challenged"
com,"the ruling; the call was overturned by replay to an"
com,"illegal slide and Kris Bryant was ruled out at 1B"
play,1,1,rizza001,10,BX,S7/L+
play,1,1,zobrb001,11,B1CX,S9/G.1-3
play,1,1,russa002,32,BCBF1B>C,K
play,2,0,cervf001,01,CX,9/F
play,2,0,harrj002,02,CFX,63/G
play,2,0,gossp001,02,CCFS,K
play,2,1,heywj001,02,CFX,3/G
play,2,1,contw001,12,SBFC,K
play,2,1,lestj001,12,BCSC,K
play,3,0,fraza001,11,BSX,43/G
play,3,0,tailj001,12,CCBFX,3/G-
play,3,0,mercj002,32,CBCBBX,63/G
play,3,1,baezj001,12,BSFS,K
play,3,1,schwk001,21,BFBX,S9/L
play,3,1,bryak001,00,X,4/P
