id,CHN201704180
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2017/04/18
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,millb901
info,ump1b,guccc901
info,ump2b,demud901
info,ump3b,torrc901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,77
info,winddir,tolf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,180
info,attendance,39026
info,wp,grimj002
info,lp,hughj001
info,save,daviw001
start,villj001,"Jonathan Villar",0,1,4
start,thame001,"Eric Thames",0,2,3
start,braur002,"Ryan Braun",0,3,7
start,shawt001,"Travis Shaw",0,4,5
start,santd002,"Domingo Santana",0,5,9
start,pinam001,"Manny Pina",0,6,2
start,broxk001,"Keon Broxton",0,7,8
start,arcio002,"Orlando Arcia",0,8,6
start,nelsj004,"Jimmy Nelson",0,9,1
start,schwk001,"Kyle Schwarber",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,4
start,heywj001,"Jason Heyward",1,5,9
start,montm001,"Miguel Montero",1,6,2
start,baezj001,"Javier Baez",1,7,6
start,andeb004,"Brett Anderson",1,8,1
start,jay-j001,"Jon Jay",1,9,8
play,1,0,villj001,10,BX,13/G
play,1,0,thame001,11,CBX,D9/L+
play,1,0,braur002,11,*BFX,S7/L+.2-3
play,1,0,shawt001,12,BCFX,D7/L.3-H;1-3
play,1,0,santd002,11,BCX,13/G+.3-H;2-3
play,1,0,pinam001,10,BX,D7/L.3-H
play,1,0,broxk001,22,BFF*BS,K
play,1,1,schwk001,00,X,63/G
play,1,1,bryak001,22,CCFBBFC,K
play,1,1,rizza001,00,X,8/F
play,2,0,arcio002,11,BFX,63/G
play,2,0,nelsj004,02,SSC,K
play,2,0,villj001,32,BCSBBFS,K
play,2,1,zobrb001,22,CBBCX,63/G
play,2,1,heywj001,00,X,43/G
play,2,1,montm001,22,CFBFBX,S8/L+
play,2,1,baezj001,01,CX,7/F
play,3,0,thame001,00,X,D9/G+
play,3,0,braur002,11,CBX,S5/G.2-2
play,3,0,shawt001,22,BCBCX,D8/L+.2-H;1-3
play,3,0,santd002,22,FB*BFX,9/L/SF.3-H
play,3,0,pinam001,00,>C,SB3
play,3,0,pinam001,01,>C.X,FC5/G.3XH(52)
play,3,0,broxk001,02,SCC,K
play,3,1,andeb004,01,CX,63/G
play,3,1,jay-j001,32,BFFBBB,W
play,3,1,schwk001,10,BX,HR/8/F.1-H
play,3,1,bryak001,00,X,8/F
