id,CHN201705030
version,2
info,visteam,PHI
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/03
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,estam901
info,ump1b,belld901
info,ump2b,hudsm901
info,ump3b,basnt901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,50
info,winddir,fromlf
info,windspeed,12
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,189
info,attendance,39335
info,wp,arrij001
info,lp,eickj001
info,save,daviw001
start,hernc005,"Cesar Hernandez",0,1,4
start,navad002,"Daniel Nava",0,2,7
start,altha001,"Aaron Altherr",0,3,9
start,franm004,"Maikel Franco",0,4,5
start,herro001,"Odubel Herrera",0,5,8
start,stasb001,"Brock Stassi",0,6,3
start,galvf001,"Freddy Galvis",0,7,6
start,knapa001,"Andrew Knapp",0,8,2
start,eickj001,"Jerad Eickhoff",0,9,1
start,schwk001,"Kyle Schwarber",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,9
start,russa002,"Addison Russell",1,5,6
start,heywj001,"Jason Heyward",1,6,8
start,montm001,"Miguel Montero",1,7,2
start,arrij001,"Jake Arrieta",1,8,1
start,baezj001,"Javier Baez",1,9,4
play,1,0,hernc005,12,BFFC,K
play,1,0,navad002,31,CBBBB,W
play,1,0,altha001,22,CB11BFC,K
play,1,0,franm004,12,CCB>B,SB2
play,1,0,franm004,22,CCB>B.X,S9/L.2-H;B-2(TH)
play,1,0,herro001,22,SSBBX,D9/L.2-H
play,1,0,stasb001,12,BFCX,6/L
play,1,1,schwk001,32,FBBSFBS,K
play,1,1,bryak001,00,X,S8/L
play,1,1,rizza001,01,FX,343/G.1-2
play,1,1,zobrb001,11,CBX,8/L
play,2,0,galvf001,00,X,7/F
play,2,0,knapa001,12,BFCS,K
play,2,0,eickj001,12,BFFC,K
play,2,1,russa002,11,BCX,7/L+
play,2,1,heywj001,32,BBBCFB,W
play,2,1,montm001,32,CB1BF1BX,S9/L.1-3
play,2,1,arrij001,10,BX,13/G-.3-H;1-2
play,2,1,baezj001,10,BX,3/G-
play,3,0,hernc005,12,CCBX,S8/G
play,3,0,navad002,21,1BFB1,PO1(13)/MREV
com,"replay,3,navad002,PHI,hudsm901,CHI11,,Y,M,CHN,A"
com,"$when Cesar Hernandez was called safe at 1B, Cubs"
com,"manager Joe Maddon challenged the ruling; the"
com,"call was overturned by replay"
play,3,0,navad002,21,1BFB1.X,43/G
play,3,0,altha001,20,BBX,6/P
play,3,1,schwk001,32,BCFBB*B,W
