id,CHN201705040
version,2
info,visteam,PHI
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/04
info,number,0
info,starttime,1:22PM
info,daynight,day
info,usedh,false
info,umphome,belld901
info,ump1b,hudsm901
info,ump2b,basnt901
info,ump3b,estam901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,48
info,winddir,fromcf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,262
info,attendance,36394
info,wp,uehak001
info,lp,rodrj004
info,save,
start,hernc005,"Cesar Hernandez",0,1,4
start,altha001,"Aaron Altherr",0,2,7
start,herro001,"Odubel Herrera",0,3,8
start,franm004,"Maikel Franco",0,4,5
start,saunm001,"Michael Saunders",0,5,9
start,joset001,"Tommy Joseph",0,6,3
start,ruppc001,"Cameron Rupp",0,7,2
start,galvf001,"Freddy Galvis",0,8,6
start,efliz001,"Zach Eflin",0,9,1
start,jay-j001,"Jon Jay",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,russa002,"Addison Russell",1,4,6
start,montm001,"Miguel Montero",1,5,2
start,almoa002,"Albert Almora",1,6,8
start,baezj001,"Javier Baez",1,7,4
start,lackj001,"John Lackey",1,8,1
start,szczm001,"Matt Szczur",1,9,9
play,1,0,hernc005,11,BFX,8/L
play,1,0,altha001,12,CBTS,K
play,1,0,herro001,22,CSFFFFFBBX,DGR/8/L
play,1,0,franm004,12,CBCFS,K
play,1,1,jay-j001,21,BFBX,S8/G+
play,1,1,bryak001,02,C1F11,PO1(13)
play,1,1,bryak001,02,C1F11.X,S8/L-
play,1,1,rizza001,22,1CB*BF1X,8/F
play,1,1,russa002,00,X,D9/L+.1-H
play,1,1,montm001,20,BBX,7/F
play,2,0,saunm001,01,FX,43/G
play,2,0,joset001,32,CFBBBFX,63/G
play,2,0,ruppc001,12,FCBT,K
play,2,1,almoa002,11,CBX,S9/G
play,2,1,baezj001,01,CX,13/BG/SH.1-2
play,2,1,lackj001,21,FBBX,63/G
play,2,1,szczm001,00,X,D7/F.2-H
play,2,1,jay-j001,32,SBBFFBX,63/G
play,3,0,galvf001,32,BBCBCX,8/F
play,3,0,efliz001,12,CTFBS,K
play,3,0,hernc005,00,X,S2/BG
play,3,0,altha001,10,B>B,SB2
play,3,0,altha001,20,B>B.X,S7/G.2-H
play,3,0,herro001,10,BX,8/F
play,3,1,bryak001,00,X,S9/G-
play,3,1,rizza001,00,X,36(1)/FO/G.B-2(E6/TH)
play,3,1,russa002,32,FFFBBBX,53/G
play,3,1,montm001,00,X,43/G
play,4,0,franm004,00,X,HR/78/F
play,4,0,saunm001,20,BBX,8/F
play,4,0,joset001,22,SBBCFH,HP
play,4,0,ruppc001,12,FCBS,K
play,4,0,galvf001,01,CX,S8/G.1-2
play,4,0,efliz001,02,FSC,K
play,4,1,almoa002,01,FX,53/G
play,4,1,baezj001,31,BSBBX,9/F
play,4,1,lackj001,00,X,D7/L+
play,4,1,szczm001,12,CFBX,7/L
play,5,0,hernc005,11,CBX,S9/L
play,5,0,altha001,00,X,S8/L+.1-2
play,5,0,herro001,22,B+1BCCFX,31/G.2-3;1-2
