id,CHN201705070
version,2
info,visteam,NYA
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/07
info,number,0
info,starttime,7:09PM
info,daynight,night
info,usedh,false
info,umphome,westj901
info,ump1b,wendh902
info,ump2b,blakr901
info,ump3b,porta901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,43
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,365
info,attendance,40584
info,wp,shrec001
info,lp,strop001
info,save,
start,ellsj001,"Jacoby Ellsbury",0,1,8
start,hicka001,"Aaron Hicks",0,2,7
start,hollm001,"Matt Holliday",0,3,3
start,casts001,"Starlin Castro",0,4,4
start,judga001,"Aaron Judge",0,5,9
start,gregd001,"Didi Gregorius",0,6,6
start,headc001,"Chase Headley",0,7,5
start,romia002,"Austin Romine",0,8,2
start,sevel001,"Luis Severino",0,9,1
start,schwk001,"Kyle Schwarber",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,9
start,russa002,"Addison Russell",1,5,6
start,jay-j001,"Jon Jay",1,6,8
start,contw001,"Willson Contreras",1,7,2
start,lestj001,"Jon Lester",1,8,1
start,baezj001,"Javier Baez",1,9,4
play,1,0,ellsj001,10,BX,S7/L+
play,1,0,hicka001,11,CB+1,PO1(23)
play,1,0,hicka001,32,CB+1.CBBB,W
play,1,0,hollm001,01,CX,S9/G.1-2
play,1,0,casts001,01,F>B,SB3;SB2
play,1,0,casts001,11,F>B.X,63/G.3-H;2-3
play,1,0,judga001,22,FCBBX,9/F
play,1,1,schwk001,32,BBBCFFFS,K
play,1,1,bryak001,02,CSS,K
play,1,1,rizza001,00,X,31/G
play,2,0,gregd001,12,CSBS,K
play,2,0,headc001,22,FCBBFS,K
play,2,0,romia002,12,BSSX,63/G
play,2,1,zobrb001,00,X,8/L
play,2,1,russa002,22,CBSBX,63/G
play,2,1,jay-j001,32,BBCBCX,13/G
play,3,0,sevel001,12,BCSFS,K
play,3,0,ellsj001,01,SX,31/G
play,3,0,hicka001,32,BBCBCB,W
play,3,0,hollm001,22,BCFBS,K
play,3,1,contw001,11,BCX,43/G
play,3,1,lestj001,22,CBBCFX,7/L
play,3,1,baezj001,22,BFBFFFX,HR/7/F
play,3,1,schwk001,12,FBCX,D7/F
play,3,1,bryak001,32,BFFBFBS,K
play,4,0,casts001,12,CFBS,K
play,4,0,judga001,32,CBFFBBC,K
play,4,0,gregd001,32,BCBBFX,63/G
play,4,1,rizza001,22,CBBFC,K
play,4,1,zobrb001,12,BCFS,K+WP.B-1
play,4,1,russa002,32,B1BBCFFB,W.1-2
play,4,1,jay-j001,00,X,36(1)/FO/G.2-3
play,4,1,contw001,01,SX,13/G
play,5,0,headc001,22,BBCFC,K
play,5,0,romia002,11,BFX,8/L+
play,5,0,sevel001,32,SSBBBX,7/F
play,5,1,lestj001,12,FBCS,K
play,5,1,baezj001,32,BCBCBS,K
play,5,1,schwk001,01,FX,D9/L
play,5,1,bryak001,00,X,63/G
play,6,0,ellsj001,22,CBBCX,13/G-
play,6,0,hicka001,12,SBCS,K
play,6,0,hollm001,22,FBSBFS,K
play,6,1,rizza001,02,CSS,K23
play,6,1,zobrb001,22,FBFBX,S7/L
play,6,1,russa002,12,CB1FX,64(1)3/GDP
play,7,0,casts001,12,SBSX,E5/TH/G.B-2
play,7,0,judga001,32,B*BSBSX,T8/F.2-H(UR)
play,7,0,gregd001,00,X,7/F-
play,7,0,headc001,32,BBF*BSX,53/G
play,7,0,romia002,32,BBBCCFX,5/L
play,7,1,jay-j001,22,BFFBFFX,63/G
play,7,1,contw001,22,CBFBFFC,K
play,7,1,lestj001,00,,NP
sub,lastt001,"Tommy La Stella",1,8,11
