id,CHN201705190
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/19
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,timmt901
info,ump1b,hoyej901
info,ump2b,littw901
info,ump3b,kellj901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,46
info,winddir,fromcf
info,windspeed,18
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,207
info,attendance,36923
info,wp,peraw001
info,lp,montm002
info,save,torrc001
start,sogae001,"Eric Sogard",0,1,7
start,thame001,"Eric Thames",0,2,3
start,villj001,"Jonathan Villar",0,3,4
start,shawt001,"Travis Shaw",0,4,5
start,santd002,"Domingo Santana",0,5,9
start,bandj001,"Jett Bandy",0,6,2
start,broxk001,"Keon Broxton",0,7,8
start,arcio002,"Orlando Arcia",0,8,6
start,espip001,"Paolo Espino",0,9,1
start,schwk001,"Kyle Schwarber",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,happi001,"Ian Happ",1,4,8
start,zobrb001,"Ben Zobrist",1,5,4
start,contw001,"Willson Contreras",1,6,2
start,baezj001,"Javier Baez",1,7,6
start,butle001,"Eddie Butler",1,8,1
start,jay-j001,"Jon Jay",1,9,9
play,1,0,sogae001,32,BBCBFB,W
play,1,0,thame001,32,C*BBBCB,W.1-2
play,1,0,villj001,22,SBBSFC,K
play,1,0,shawt001,22,CBBSS,K
play,1,0,santd002,10,B>B,SB3
play,1,0,santd002,30,B>B.*BB,W.1-2
play,1,0,bandj001,32,BTF*BFB>F>X,S8/G.3-H;2-H;1-3
play,1,0,broxk001,31,1B*BBCX,4/L
play,1,1,schwk001,12,CBCS,K
play,1,1,bryak001,01,CX,63/G
play,1,1,rizza001,10,BX,9/F
play,2,0,arcio002,11,BCX,43/G
play,2,0,espip001,21,BCBX,43/G
play,2,0,sogae001,32,BCBBCB,W
play,2,0,thame001,32,B1BSBC>F*B,W.1-2
play,2,0,villj001,32,C*BS*B*B>X,23/G-
play,2,1,happi001,31,CBBBX,7/L+
play,2,1,zobrb001,20,BBX,63/G
play,2,1,contw001,22,FBFBS,K
play,3,0,shawt001,01,FX,31/G+
play,3,0,santd002,32,FBBBFS,K
play,3,0,bandj001,32,BBSTBX,S7/L+
play,3,0,broxk001,32,C*BFF*BB>F>X,7/L+
play,3,1,baezj001,32,CBBFBFFFX,E8/F.B-2
play,3,1,butle001,00,X,3/BG/SH.2-3
play,3,1,jay-j001,31,CBBBX,D9/G.3-H(UR)
