id,CHN201705220
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/22
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,eddid901
info,ump1b,blasc901
info,ump2b,nelsj901
info,ump3b,diazl901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,70
info,winddir,tocf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,179
info,attendance,36204
info,wp,blact002
info,lp,lackj001
info,save,melam001
start,panij002,"Joe Panik",0,1,4
start,arroc001,"Christian Arroyo",0,2,5
start,beltb001,"Brandon Belt",0,3,3
start,poseb001,"Buster Posey",0,4,2
start,crawb001,"Brandon Crawford",0,5,6
start,nunee002,"Eduardo Nunez",0,6,7
start,ruggj001,"Justin Ruggiano",0,7,9
start,herng001,"Gorkys Hernandez",0,8,8
start,blact002,"Ty Blach",0,9,1
start,zobrb001,"Ben Zobrist",1,1,7
start,almoa002,"Albert Almora",1,2,8
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,contw001,"Willson Contreras",1,5,2
start,russa002,"Addison Russell",1,6,6
start,heywj001,"Jason Heyward",1,7,9
start,baezj001,"Javier Baez",1,8,4
start,lackj001,"John Lackey",1,9,1
play,1,0,panij002,32,BCFBBX,HR/8/F
play,1,0,arroc001,21,SBBX,63/G
play,1,0,beltb001,01,FX,8/F
play,1,0,poseb001,01,FX,9/F
play,1,1,zobrb001,32,CBFFBFFBFFFFC,K
play,1,1,almoa002,01,CX,9/F
play,1,1,bryak001,11,CBX,7/L
play,2,0,crawb001,22,BCBFFFS,K
play,2,0,nunee002,11,CBX,53/G
play,2,0,ruggj001,12,CSBFX,63/G
play,2,1,rizza001,32,CBBBFFX,31/G
play,2,1,contw001,22,CBSBFX,S4/G
play,2,1,russa002,11,*BFX,46(1)/FO/G+
play,2,1,heywj001,02,CC1X,43/G
play,3,0,herng001,32,CBFBBFB,W
play,3,0,blact002,00,,NP
sub,rizza001,"Anthony Rizzo",1,4,4
play,3,0,blact002,00,,NP
sub,baezj001,"Javier Baez",1,8,3
play,3,0,blact002,01,..S>C,SB2
play,3,0,blact002,00,,NP
sub,rizza001,"Anthony Rizzo",1,4,3
play,3,0,blact002,00,,NP
sub,baezj001,"Javier Baez",1,8,4
play,3,0,blact002,02,..S>C...S,K
play,3,0,panij002,00,X,D9/L.2-H
play,3,0,arroc001,12,C*BFS,K
play,3,0,beltb001,00,X,S7/L.2-H
play,3,0,poseb001,00,H,HP.1-2
play,3,0,crawb001,31,FBBBX,43/G+
play,3,1,baezj001,12,CBFX,S5/G
play,3,1,lackj001,02,SSF1X,3/L
play,3,1,zobrb001,01,C1>B,CS2(24)
play,3,1,zobrb001,22,C1>B.FBX,T9/L
play,3,1,almoa002,10,BX,43/G
play,4,0,nunee002,32,CBLFBBFX,S7/L
play,4,0,ruggj001,00,>C,SB2
play,4,0,ruggj001,12,>C.SFBX,D8/L.2-H
