id,CHN201705240
version,2
info,visteam,SFN
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/24
info,number,0
info,starttime,7:05PM
info,daynight,night
info,usedh,false
info,umphome,nelsj901
info,ump1b,diazl901
info,ump2b,eddid901
info,ump3b,blasc901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,52
info,winddir,ltor
info,windspeed,18
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,185
info,attendance,35617
info,wp,hendk001
info,lp,moorm003
info,save,daviw001
start,spand001,"Denard Span",0,1,8
start,panij002,"Joe Panik",0,2,4
start,beltb001,"Brandon Belt",0,3,3
start,poseb001,"Buster Posey",0,4,2
start,crawb001,"Brandon Crawford",0,5,6
start,nunee002,"Eduardo Nunez",0,6,7
start,arroc001,"Christian Arroyo",0,7,5
start,willm008,"Mac Williamson",0,8,9
start,moorm003,"Matt Moore",0,9,1
start,baezj001,"Javier Baez",1,1,4
start,almoa002,"Albert Almora",1,2,8
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,happi001,"Ian Happ",1,5,7
start,heywj001,"Jason Heyward",1,6,9
start,russa002,"Addison Russell",1,7,6
start,montm001,"Miguel Montero",1,8,2
start,hendk001,"Kyle Hendricks",1,9,1
play,1,0,spand001,22,CBCBX,13/G
play,1,0,panij002,22,CBFFBX,6/P
play,1,0,beltb001,32,BSBSFFBX,S6/G
play,1,0,poseb001,11,BCX,53/G
play,1,1,baezj001,11,FBX,S8/G
play,1,1,almoa002,32,BB1BCFF1X,14(1)/FO/G
play,1,1,bryak001,10,BX,4(1)3/GDP
play,2,0,crawb001,21,BCBX,D8/L+
play,2,0,nunee002,21,BBCX,S3/BG.2-3
play,2,0,arroc001,11,1BC1X,46(1)/FO/G.3-H
play,2,0,willm008,12,CCBS,K
play,2,0,moorm003,01,CX,13/G
play,2,1,rizza001,01,CX,HR/89/L
play,2,1,happi001,02,SFC,K
play,2,1,heywj001,01,FX,6/L
play,2,1,russa002,20,BBX,9/F
play,3,0,spand001,11,FBX,HR/89/F
play,3,0,panij002,12,CBFS,K
play,3,0,beltb001,22,FBBSX,7/F
play,3,0,poseb001,22,CBBCX,4/L-
play,3,1,montm001,22,CBSBFX,9/F
play,3,1,hendk001,22,FBFBC,K
play,3,1,baezj001,00,X,53/G
play,4,0,crawb001,01,CX,8/F
play,4,0,nunee002,12,CSBS,K
play,4,0,arroc001,12,CFBC,K
play,4,1,almoa002,10,BX,7/F
play,4,1,bryak001,11,CBX,7/F
play,4,1,rizza001,00,X,HR/8/F
play,4,1,happi001,31,BBBCB,W
play,4,1,heywj001,00,X,3/G
play,5,0,willm008,01,CX,7/L
play,5,0,moorm003,22,BFBFS,K
play,5,0,spand001,22,BCBFX,9/L
play,5,1,russa002,21,BBCX,S16/G+
play,5,1,montm001,00,X,S9/L.1-3
play,5,1,hendk001,02,CLL,K/BF
play,5,1,baezj001,02,FSX,8/L/SF.3-H
play,5,1,almoa002,01,FX,23/G-
play,6,0,panij002,02,CFX,31/G
play,6,0,beltb001,01,SX,S1/BG.B-2(E1/TH1)
play,6,0,poseb001,22,BBCSX,4/P
play,6,0,crawb001,11,CBX,5/P5F
