id,CHN201706070
version,2
info,visteam,MIA
info,hometeam,CHN
info,site,CHI11
info,date,2017/06/07
info,number,0
info,starttime,7:06PM
info,daynight,night
info,usedh,false
info,umphome,wolcq901
info,ump1b,barrs901
info,ump2b,onorb901
info,ump3b,emmep901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,73
info,winddir,fromlf
info,windspeed,5
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,186
info,attendance,37294
info,wp,urenj001
info,lp,lackj001
info,save,ramoa001
start,gordd002,"Dee Gordon",0,1,4
start,stanm004,"Giancarlo Stanton",0,2,9
start,yelic001,"Christian Yelich",0,3,8
start,ozunm001,"Marcell Ozuna",0,4,7
start,realj001,"J.T. Realmuto",0,5,2
start,dietd001,"Derek Dietrich",0,6,5
start,moort002,"Tyler Moore",0,7,3
start,riddj001,"J.T. Riddle",0,8,6
start,urenj001,"Jose Urena",0,9,1
start,happi001,"Ian Happ",1,1,8
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,4
start,heywj001,"Jason Heyward",1,5,9
start,contw001,"Willson Contreras",1,6,2
start,baezj001,"Javier Baez",1,7,6
start,lackj001,"John Lackey",1,8,1
start,schwk001,"Kyle Schwarber",1,9,7
play,1,0,gordd002,20,BBX,T7/L
play,1,0,stanm004,12,CBFS,K
play,1,0,yelic001,31,BBBCX,7/L/SF.3-H
play,1,0,ozunm001,10,BX,3/P3F
play,1,1,happi001,32,BCFBBX,43/G
play,1,1,bryak001,01,TX,53/G
play,1,1,rizza001,31,BBBFB,W
play,1,1,zobrb001,01,CX,43/G
play,2,0,realj001,32,BBBCFFX,7/L
play,2,0,dietd001,12,CBCX,8/L
play,2,0,moort002,32,BFSBBC,K
play,2,1,heywj001,20,BBX,8/F
play,2,1,contw001,22,CBFFBT,K
play,2,1,baezj001,00,X,8/F
play,3,0,riddj001,01,CX,S48/L+
play,3,0,urenj001,00,,NP
sub,rizza001,"Anthony Rizzo",1,3,4
play,3,0,urenj001,00,,NP
sub,zobrb001,"Ben Zobrist",1,4,3
play,3,0,urenj001,12,..1CBSX,43/BG/SH.1-2
play,3,0,gordd002,00,,NP
sub,rizza001,"Anthony Rizzo",1,3,3
play,3,0,gordd002,00,,NP
sub,zobrb001,"Ben Zobrist",1,4,4
play,3,0,gordd002,22,..CBBFS,K
play,3,0,stanm004,10,BH,HP
play,3,0,yelic001,10,BX,3/G
play,3,1,lackj001,02,CCC,K
play,3,1,schwk001,20,BBX,D7/F
play,3,1,happi001,30,BBBB,W
play,3,1,bryak001,10,BX,4/P/IF
play,3,1,rizza001,21,C*BBX,D8/L+.2-H;1-H
play,3,1,zobrb001,32,BBCSBFS,K
play,4,0,ozunm001,32,FBFBBS,K
play,4,0,realj001,22,BBCFX,HR/78/F
play,4,0,dietd001,22,FCFBBFX,S7/L
play,4,0,moort002,00,X,DGR/89/L+.1-3
play,4,0,riddj001,00,X,S8/L.3-H;2-H
play,4,0,urenj001,00,,NP
sub,rizza001,"Anthony Rizzo",1,3,4
play,4,0,urenj001,00,,NP
sub,zobrb001,"Ben Zobrist",1,4,3
play,4,0,urenj001,12,..1BFSS,K
play,4,0,gordd002,00,,NP
sub,rizza001,"Anthony Rizzo",1,3,3
play,4,0,gordd002,00,,NP
