id,CHN201706090
version,2
info,visteam,COL
info,hometeam,CHN
info,site,CHI11
info,date,2017/06/09
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,belld901
info,ump1b,estam901
info,ump2b,hudsm901
info,ump3b,laynj901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,85
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,222
info,attendance,41229
info,wp,rusic001
info,lp,frans001
info,save,hollg001
start,blacc001,"Charlie Blackmon",0,1,8
start,lemad001,"DJ LeMahieu",0,2,4
start,arenn001,"Nolan Arenado",0,3,5
start,reynm001,"Mark Reynolds",0,4,3
start,gonzc001,"Carlos Gonzalez",0,5,9
start,desmi001,"Ian Desmond",0,6,7
start,stort001,"Trevor Story",0,7,6
start,hanir001,"Ryan Hanigan",0,8,2
start,marqg001,"German Marquez",0,9,1
start,happi001,"Ian Happ",1,1,8
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,4
start,heywj001,"Jason Heyward",1,5,9
start,baezj001,"Javier Baez",1,6,6
start,montm001,"Miguel Montero",1,7,2
start,montm002,"Mike Montgomery",1,8,1
start,schwk001,"Kyle Schwarber",1,9,7
play,1,0,blacc001,22,CFBBT,K
play,1,0,lemad001,11,CBX,S7/G
play,1,0,arenn001,00,X,8/F
play,1,0,reynm001,31,*BBBCB,W.1-2
play,1,0,gonzc001,02,CFX,7/L
play,1,1,happi001,02,CFFS,K
play,1,1,bryak001,21,BSBX,63/G
play,1,1,rizza001,32,BCBCB*B,W
play,1,1,zobrb001,21,BCBX,S8/G.1-2
play,1,1,heywj001,22,BBCCX,S8/L.2-H;1-H(UR)(E8)(NR);B-2
play,1,1,baezj001,22,CBSBFFX,7/F
play,2,0,desmi001,10,BX,S9/G+
play,2,0,stort001,11,FB>C,SB2
play,2,0,stort001,22,FB>C.*BS,K
play,2,0,hanir001,11,C2*BX,HR/78/F.2-H
play,2,0,marqg001,22,BFFBFS,K
play,2,0,blacc001,32,CBBFBFB,W
play,2,0,lemad001,00,111,POCS2(136)
play,2,1,montm001,22,CBSBFH,HP
play,2,1,montm002,02,SSM,K
play,2,1,schwk001,02,CCFFS,K
play,2,1,happi001,32,BBFFB>F>S,K
play,3,0,lemad001,31,CBBBX,43/G
play,3,0,arenn001,32,CBBBCX,9/F
play,3,0,reynm001,32,CBBCBC,K
play,3,1,bryak001,31,BBFBB,W
play,3,1,rizza001,32,1B1BBFF>B,W.1-2
