id,CHN201707050
version,2
info,visteam,TBA
info,hometeam,CHN
info,site,CHI11
info,date,2017/07/05
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,culbf901
info,ump1b,carlm901
info,ump2b,segac901
info,ump3b,buckc901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,81
info,winddir,fromrf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,190
info,attendance,39855
info,wp,strop001
info,lp,ramie004
info,save,
start,smitm007,"Mallex Smith",0,1,8
start,dickc002,"Corey Dickerson",0,2,7
start,longe001,"Evan Longoria",0,3,5
start,morrl001,"Logan Morrison",0,4,3
start,souzs001,"Steven Souza",0,5,9
start,beckt001,"Tim Beckham",0,6,4
start,hecha001,"Adeiny Hechavarria",0,7,6
start,sucrj001,"Jesus Sucre",0,8,2
start,snelb001,"Blake Snell",0,9,1
start,contw001,"Willson Contreras",1,1,2
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,9
start,happi001,"Ian Happ",1,5,7
start,almoa002,"Albert Almora",1,6,8
start,baezj001,"Javier Baez",1,7,4
start,russa002,"Addison Russell",1,8,6
start,lackj001,"John Lackey",1,9,1
play,1,0,smitm007,11,BFX,S9/L
play,1,0,dickc002,02,FCX,8/L+
play,1,0,longe001,00,>B,SB2
play,1,0,longe001,10,>B.X,S8/G.2-H
play,1,0,morrl001,11,CBX,S8/L.1-2
play,1,0,souzs001,10,BX,64(1)3/GDP
play,1,1,contw001,22,CBBCX,S8/L
play,1,1,bryak001,31,BFBBX,8/F.1-2
play,1,1,rizza001,31,C*BBBB,W
play,1,1,zobrb001,02,CFFC,K
play,1,1,happi001,30,B*BBX,3/P
play,2,0,beckt001,11,BCX,13/G-
play,2,0,hecha001,31,BBBCX,8/F
play,2,0,sucrj001,02,CTFS,K
play,2,1,almoa002,02,CCFS,K
play,2,1,baezj001,11,CBX,D8/L
play,2,1,russa002,02,FFS,K
play,2,1,lackj001,22,CCFFB*BS,K
play,3,0,snelb001,22,CFBBFX,43/G
play,3,0,smitm007,00,X,S9/G
play,3,0,dickc002,00,1X,D7/F.1-H;BX3(75)
play,3,0,longe001,10,BX,7/F
play,3,1,contw001,00,X,53/G-
play,3,1,bryak001,12,BFFX,S7/G+
play,3,1,rizza001,32,BC*BBFB,W.1-2
play,3,1,zobrb001,02,CCX,3/L/DP.1X1(3)
play,4,0,morrl001,12,SFFFBX,7/F
play,4,0,souzs001,12,SBCFS,K
play,4,0,beckt001,21,SBBX,53/G
play,4,1,happi001,12,BSSS,K
play,4,1,almoa002,32,BBBCFX,S8/L
play,4,1,baezj001,11,FBX,43/G-.1-2
play,4,1,russa002,30,VVVV,IW
play,4,1,lackj001,01,CX,53/G-
