id,CHN201707070
version,2
info,visteam,PIT
info,hometeam,CHN
info,site,CHI11
info,date,2017/07/07
info,number,0
info,starttime,1:21PM
info,daynight,day
info,usedh,false
info,umphome,cedeg901
info,ump1b,morag901
info,ump2b,johna901
info,ump3b,coope901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,77
info,winddir,fromcf
info,windspeed,14
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,226
info,attendance,41294
info,wp,edwac001
info,lp,willt002
info,save,
start,fraza001,"Adam Frazier",0,1,4
start,harrj002,"Josh Harrison",0,2,5
start,mccua001,"Andrew McCutchen",0,3,8
start,bellj005,"Josh Bell",0,4,3
start,jasoj001,"John Jaso",0,5,7
start,polag001,"Gregory Polanco",0,6,9
start,cervf001,"Francisco Cervelli",0,7,2
start,mercj002,"Jordy Mercer",0,8,6
start,willt002,"Trevor Williams",0,9,1
start,zobrb001,"Ben Zobrist",1,1,4
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,happi001,"Ian Happ",1,4,8
start,schwk001,"Kyle Schwarber",1,5,7
start,heywj001,"Jason Heyward",1,6,9
start,carav001,"Victor Caratini",1,7,2
start,russa002,"Addison Russell",1,8,6
start,butle001,"Eddie Butler",1,9,1
play,1,0,fraza001,02,FFX,4/P
play,1,0,harrj002,02,FFX,3/G-
play,1,0,mccua001,32,BSCBFBX,D7/L
com,"$Unclear if McCutchen's double went through basket;"
com,"umpires reviewed and confirmed call of double"
play,1,0,bellj005,30,B*B*BB,W
play,1,0,jasoj001,32,FFBBF*B>B,W.2-3;1-2
play,1,0,polag001,12,BSFFT,K
play,1,1,zobrb001,12,BCCX,S7/L
play,1,1,bryak001,12,CBFX,S5/G-.1-3(E5/TH);B-2
play,1,1,rizza001,32,FBFFFBFBX,2/P2F
play,1,1,happi001,12,FSBX,6/L
play,1,1,schwk001,22,CBBFX,13/G-
play,2,0,cervf001,32,BBSSFBX,S9/L
play,2,0,mercj002,10,BX,E8/F+.1-3;B-2
play,2,0,willt002,12,FFBX,FC3/G.3XH(32);2-3
play,2,0,fraza001,30,BBBX,7/F
play,2,0,harrj002,00,X,64(1)/FO/G
play,2,1,heywj001,22,BCBFFS,K
play,2,1,carav001,30,BBBB,W
play,2,1,russa002,01,CX,E4/G.1-2
play,2,1,butle001,01,CX,E3/TH/BG/SH.2-3;1-2
play,2,1,zobrb001,02,CFFC,K
play,2,1,bryak001,22,*BCBFFT,K
play,3,0,mccua001,11,FBX,S8/G+
play,3,0,bellj005,01,F*B,OA.1X2(26)
play,3,0,bellj005,32,F*B.SBFBX,31/G
play,3,0,jasoj001,11,CBX,8/L+
play,3,1,rizza001,32,BCFFFBBX,13/G
play,3,1,happi001,22,CFBBX,S8/G+
play,3,1,schwk001,00,1>B,SB2
play,3,1,schwk001,22,1>B.BSSX,4/P
play,3,1,heywj001,32,B+2CCFFBFBB,W
play,3,1,carav001,11,FBX,31/G
play,4,0,polag001,22,BCBCFX,S9/L+.B-2(E6/TH)
play,4,0,cervf001,32,C*BB*BFB,W
play,4,0,mercj002,31,BBCBX,3/P/IF
play,4,0,willt002,22,OFBBFX,14/BG/SH.2-3;1-2
play,4,0,fraza001,00,X,9/F
