id,CHN201707090
version,2
info,visteam,PIT
info,hometeam,CHN
info,site,CHI11
info,date,2017/07/09
info,number,0
info,starttime,12:11PM
info,daynight,day
info,usedh,false
info,umphome,johna901
info,ump1b,coope901
info,ump2b,cedeg901
info,ump3b,morag901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,85
info,winddir,tolf
info,windspeed,4
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,194
info,attendance,41604
info,wp,schua001
info,lp,lestj001
info,save,
start,harrj002,"Josh Harrison",0,1,7
start,cervf001,"Francisco Cervelli",0,2,2
start,mccua001,"Andrew McCutchen",0,3,8
start,freed001,"David Freese",0,4,5
start,bellj005,"Josh Bell",0,5,3
start,osunj001,"Jose Osuna",0,6,9
start,mercj002,"Jordy Mercer",0,7,6
start,morom001,"Max Moroff",0,8,4
start,kuhlc001,"Chad Kuhl",0,9,1
start,jay-j001,"Jon Jay",1,1,8
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,happi001,"Ian Happ",1,4,4
start,schwk001,"Kyle Schwarber",1,5,7
start,contw001,"Willson Contreras",1,6,2
start,heywj001,"Jason Heyward",1,7,9
start,russa002,"Addison Russell",1,8,6
start,lestj001,"Jon Lester",1,9,1
play,1,0,harrj002,01,CX,S8/L
play,1,0,cervf001,22,BCC*BX,53/G-.1-2
play,1,0,mccua001,32,BSBBFB,W
com,"$Cubs challenged fair call that appeared to give McCutchen"
com,"a double on 5th pitch; call was overturned - foul"
play,1,0,freed001,11,CBX,E5/FO/G.2-3;1-2
play,1,0,bellj005,12,BCCX,S9/L.3-H;2-3;1-2
play,1,0,osunj001,21,BBSX,D7/F.3-H(UR);2-H;1-3
play,1,0,mercj002,22,BBCFX,S7/G.3-H;2-H;B-2(E2)
play,1,0,morom001,31,BBBF*B,W
play,1,0,kuhlc001,21,B+2LBX,34/BG/SH.2-3;1-2
play,1,0,harrj002,31,BBBCB,W
play,1,0,cervf001,32,BFCFBB>F>X,HR/78/F.3-H(UR);2-H(UR);1-H(UR);B-H(UR)
play,1,0,mccua001,10,BX,HR/8/F.B-H(UR)
play,1,0,freed001,00,,NP
sub,montm002,"Mike Montgomery",1,9,1
play,1,0,freed001,32,.CBBBFB,W
play,1,0,bellj005,21,CBBX,S7/G.1-2
play,1,0,osunj001,10,BX,8/F
play,1,1,jay-j001,32,BBCSBFS,K
play,1,1,bryak001,30,BBBB,W
play,1,1,rizza001,12,BFCFFX,7/F
play,1,1,happi001,32,BCBBS>F>C,K
