id,CHN201707250
version,2
info,visteam,CHA
info,hometeam,CHN
info,site,CHI11
info,date,2017/07/25
info,number,0
info,starttime,1:23PM
info,daynight,day
info,usedh,false
info,umphome,barkl901
info,ump1b,tumpj901
info,ump2b,barrt901
info,ump3b,herna901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,76
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,218
info,attendance,40717
info,wp,lackj001
info,lp,rodoc001
info,save,
start,cabrm002,"Melky Cabrera",0,1,7
start,abrej003,"Jose Abreu",0,2,3
start,garca003,"Avisail Garcia",0,3,9
start,davim005,"Matt Davidson",0,4,5
start,moncy001,"Yoan Moncada",0,5,4
start,andet001,"Tim Anderson",0,6,6
start,narvo001,"Omar Narvaez",0,7,2
start,engea001,"Adam Engel",0,8,8
start,rodoc001,"Carlos Rodon",0,9,1
start,zobrb001,"Ben Zobrist",1,1,9
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,contw001,"Willson Contreras",1,4,2
start,happi001,"Ian Happ",1,5,7
start,almoa002,"Albert Almora",1,6,8
start,baezj001,"Javier Baez",1,7,4
start,russa002,"Addison Russell",1,8,6
start,lackj001,"John Lackey",1,9,1
play,1,0,cabrm002,12,CFFFFBX,13/G-
play,1,0,abrej003,10,BH,HP
play,1,0,garca003,00,X,53/G-.1-2
play,1,0,davim005,10,BX,63/G
play,1,1,zobrb001,21,BCBX,D6/G
play,1,1,bryak001,22,FBSBS,K
play,1,1,rizza001,30,BBBB,W
play,1,1,contw001,01,SX,HR/7/F.2-H;1-H
play,1,1,happi001,22,FSBFBT,K
play,1,1,almoa002,32,SBBFFFFBS,K23
play,2,0,moncy001,11,CBX,43/G
play,2,0,andet001,02,CFX,S8/G
play,2,0,narvo001,22,B11CBF>X,S8/G.1-3
play,2,0,engea001,32,BFBB+3CS,K
play,2,0,rodoc001,00,X,D8/L+.3-H;1-H
play,2,0,cabrm002,02,CFB,WP.2-3
play,2,0,cabrm002,12,CFB.X,53/G
play,2,1,baezj001,22,CBCBS,K
play,2,1,russa002,22,CSBBX,D9/F
play,2,1,lackj001,31,BBBCB,W
play,2,1,zobrb001,11,L*BX,D8/L.2-H;1-3
play,2,1,bryak001,22,BSBFS,K
play,2,1,rizza001,32,CBBFBC,K
play,3,0,abrej003,01,CX,53/G
play,3,0,garca003,12,CSBS,K
play,3,0,davim005,32,BCSBBFC,K
play,3,1,contw001,22,SFBBX,S8/L+
play,3,1,happi001,10,BX,S7/L.1-2
play,3,1,almoa002,22,F*BBCFX,9/F
