id,CHN201708140
version,2
info,visteam,CIN
info,hometeam,CHN
info,site,CHI11
info,date,2017/08/14
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,kulpr901
info,ump1b,hudsm901
info,ump2b,blakr901
info,ump3b,conrc901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,77
info,winddir,tolf
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,225
info,attendance,40263
info,wp,quinj001
info,lp,wojca001
info,save,
start,hamib001,"Billy Hamilton",0,1,8
start,cozaz001,"Zack Cozart",0,2,6
start,vottj001,"Joey Votto",0,3,3
start,duvaa001,"Adam Duvall",0,4,7
start,suare001,"Eugenio Suarez",0,5,5
start,genns001,"Scooter Gennett",0,6,4
start,mesod001,"Devin Mesoraco",0,7,2
start,kivlp001,"Patrick Kivlehan",0,8,9
start,wojca001,"Asher Wojciechowski",0,9,1
start,jay-j001,"Jon Jay",1,1,8
start,lastt001,"Tommy La Stella",1,2,4
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,schwk001,"Kyle Schwarber",1,5,7
start,avila001,"Alex Avila",1,6,2
start,heywj001,"Jason Heyward",1,7,9
start,baezj001,"Javier Baez",1,8,6
start,quinj001,"Jose Quintana",1,9,1
play,1,0,hamib001,11,BFX,53/G
play,1,0,cozaz001,31,CBBBB,W
play,1,0,vottj001,22,CCB*BX,46(1)/FO/G
play,1,0,duvaa001,22,CCBBC,K
play,1,1,jay-j001,21,BSBX,S9/L
play,1,1,lastt001,11,CBX,9/F
play,1,1,bryak001,00,X,D7/L.1-3
play,1,1,rizza001,02,SFX,S7/L.3-H;2-H;B-2(TH)
play,1,1,schwk001,02,CFS,K
play,1,1,avila001,22,FCBBX,8/F
play,2,0,suare001,32,CBBFBB,W
play,2,0,genns001,21,BCBX,S7/L.1-2
play,2,0,mesod001,22,C*BSBH,HP.2-3;1-2
play,2,0,kivlp001,02,CSX,E1/TH/FO/G.3-H(UR)(NR);2-3;1-2
play,2,0,wojca001,00,,NP
sub,barnt001,"Tucker Barnhart",0,7,12
play,2,0,wojca001,02,.FSS,K
play,2,0,hamib001,22,F*BFBX,S7/G.3-H;2XH(72);1-2
play,2,0,cozaz001,30,B*BBB,W.2-3;1-2
play,2,0,vottj001,32,BC*BCB>X,13/G
play,2,1,heywj001,00,,NP
sub,barnt001,"Tucker Barnhart",0,7,2
play,2,1,heywj001,21,.BCBX,63/G
play,2,1,baezj001,12,CSBFX,53/G
play,2,1,quinj001,12,FBSC,K
play,3,0,duvaa001,22,FTBBH,HP
play,3,0,suare001,00,X,7/F
play,3,0,genns001,11,CB>B,CS2(26)
play,3,0,genns001,32,CB>B.BFX,63/G
play,3,1,jay-j001,01,CX,D9/F
play,3,1,lastt001,01,FX,S39/L.2-3
play,3,1,bryak001,12,BCSS,K
play,3,1,rizza001,01,CX,4/P
play,3,1,schwk001,32,FBBFB>F>F>FH,HP.1-2
play,3,1,avila001,22,FSFBBX,4/L
play,4,0,barnt001,11,CBX,S7/L
play,4,0,kivlp001,12,CCBC,K
play,4,0,wojca001,00,,NP
sub,lastt001,"Tommy La Stella",1,2,3
