id,CHN201708160
version,2
info,visteam,CIN
info,hometeam,CHN
info,site,CHI11
info,date,2017/08/16
info,number,0
info,starttime,7:06PM
info,daynight,night
info,usedh,false
info,umphome,blakr901
info,ump1b,conrc901
info,ump2b,kulpr901
info,ump3b,hudsm901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,81
info,winddir,tocf
info,windspeed,2
info,fieldcond,wet
info,precip,rain
info,sky,unknown
info,timeofgame,215
info,attendance,37021
info,wp,daviw001
info,lp,peraw002
info,save,
start,hamib001,"Billy Hamilton",0,1,8
start,cozaz001,"Zack Cozart",0,2,6
start,vottj001,"Joey Votto",0,3,3
start,suare001,"Eugenio Suarez",0,4,5
start,genns001,"Scooter Gennett",0,5,7
start,winkj002,"Jesse Winker",0,6,9
start,peraj003,"Jose Peraza",0,7,4
start,barnt001,"Tucker Barnhart",0,8,2
start,bailh001,"Homer Bailey",0,9,1
start,zobrb001,"Ben Zobrist",1,1,4
start,schwk001,"Kyle Schwarber",1,2,7
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,avila001,"Alex Avila",1,5,2
start,happi001,"Ian Happ",1,6,8
start,heywj001,"Jason Heyward",1,7,9
start,baezj001,"Javier Baez",1,8,6
start,lackj001,"John Lackey",1,9,1
play,1,0,hamib001,01,MX,D9/G
play,1,0,cozaz001,31,BBFBB,W
play,1,0,vottj001,00,X,S9/L.2-3;1-2
play,1,0,suare001,20,BBX,8/F/SF.3-H;2-3
play,1,0,genns001,11,CBX,7/F/DP.3XH(72)
play,1,1,zobrb001,02,CCX,S7/L
play,1,1,schwk001,00,X,S7/L.1-2
play,1,1,bryak001,31,B*BSBB,W.2-3;1-2
play,1,1,rizza001,00,X,HR/8/F.3-H;2-H;1-H
play,1,1,avila001,12,FBCS,K
play,1,1,happi001,21,BSBX,43/G
play,1,1,heywj001,22,FSBBS,K
play,2,0,winkj002,21,BBCX,S8/L
play,2,0,peraj003,32,BBCF*BB,W.1-2
play,2,0,barnt001,30,BBBN,BK.2-3;1-2
play,2,0,barnt001,30,BBBN.X,4/P
play,2,0,bailh001,12,SSBX,FC3/G.3XH(32);2-3
play,2,0,hamib001,32,BSBBF>B,W.1-2
play,2,0,cozaz001,22,SFBBFFX,7/F
play,2,1,baezj001,22,CBBTFFS,K
play,2,1,lackj001,02,CCC,K
play,2,1,zobrb001,22,CBCBS,K
play,3,0,vottj001,00,X,9/F+
play,3,0,suare001,22,CBSFBX,7/F
play,3,0,genns001,10,BX,S9/L+
play,3,0,winkj002,12,CC*BS,K
play,3,1,schwk001,31,CBBBB,W
