id,CHN201708200
version,2
info,visteam,TOR
info,hometeam,CHN
info,site,CHI11
info,date,2017/08/20
info,number,0
info,starttime,1:22PM
info,daynight,day
info,usedh,false
info,umphome,fleta901
info,ump1b,wendh902
info,ump2b,may-b901
info,ump3b,westj901
info,howscored,park
info,pitches,pitches
info,oscorer,speaa701
info,temp,84
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,224
info,attendance,41459
info,wp,wilsj004
info,lp,osunr001
info,save,
start,carre001,"Ezequiel Carrera",0,1,9
start,donaj001,"Josh Donaldson",0,2,6
start,smoaj001,"Justin Smoak",0,3,3
start,bautj002,"Jose Bautista",0,4,5
start,montm001,"Miguel Montero",0,5,2
start,pillk001,"Kevin Pillar",0,6,8
start,goinr001,"Ryan Goins",0,7,4
start,aokin001,"Nori Aoki",0,8,7
start,estrm001,"Marco Estrada",0,9,1
start,almoa002,"Albert Almora",1,1,8
start,schwk001,"Kyle Schwarber",1,2,7
start,zobrb001,"Ben Zobrist",1,3,4
start,rizza001,"Anthony Rizzo",1,4,3
start,baezj001,"Javier Baez",1,5,6
start,lastt001,"Tommy La Stella",1,6,5
start,river003,"Rene Rivera",1,7,2
start,jay-j001,"Jon Jay",1,8,9
start,hendk001,"Kyle Hendricks",1,9,1
play,1,0,carre001,01,CX,7/L
play,1,0,donaj001,22,CBCBFX,43/G
play,1,0,smoaj001,32,BSFBFBFS,K
play,1,1,almoa002,32,BFBBFS,K
play,1,1,schwk001,00,X,4/L-
play,1,1,zobrb001,32,BCBFFBX,43/G
play,2,0,bautj002,22,CFBBX,7/L
play,2,0,montm001,22,BFBFX,D7/L
play,2,0,pillk001,01,CX,7/F
play,2,0,goinr001,10,BX,8/F
play,2,1,rizza001,32,BBCFFFBX,3/G-
play,2,1,baezj001,02,CFS,K
play,2,1,lastt001,32,BFBBCX,8/L
play,3,0,aokin001,11,CBX,31/G-
play,3,0,estrm001,12,CBCC,K
play,3,0,carre001,31,CBBBB,W
play,3,0,donaj001,22,1BBS1F>S,K
play,3,1,river003,21,CBBX,S1/G
play,3,1,jay-j001,12,FBFH,HP.1-2
play,3,1,hendk001,00,X,S1/BG.2-3;1-2
play,3,1,almoa002,00,X,D7/G.3-H;2-H;1-H
play,3,1,schwk001,21,BCBX,13/G-.2-3
play,3,1,zobrb001,21,BBSX,43/G
play,3,1,rizza001,31,B*BFBX,43/G
play,4,0,smoaj001,11,BSX,D7/F
play,4,0,bautj002,00,X,S8/L+.2-H
play,4,0,montm001,02,CFFS,K
play,4,0,pillk001,00,1X,S8/L.1-2
