id,CHN201708300
version,2
info,visteam,PIT
info,hometeam,CHN
info,site,CHI11
info,date,2017/08/30
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,cedeg901
info,ump1b,coope901
info,ump2b,johna901
info,ump3b,sches901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,76
info,winddir,rtol
info,windspeed,3
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,192
info,attendance,36628
info,wp,quinj001
info,lp,novai001
info,save,
start,harrj002,"Josh Harrison",0,1,4
start,rodrs002,"Sean Rodriguez",0,2,9
start,mccua001,"Andrew McCutchen",0,3,8
start,bellj005,"Josh Bell",0,4,3
start,freed001,"David Freese",0,5,5
start,marts002,"Starling Marte",0,6,7
start,mercj002,"Jordy Mercer",0,7,6
start,stewc001,"Chris Stewart",0,8,2
start,novai001,"Ivan Nova",0,9,1
start,jay-j001,"Jon Jay",1,1,8
start,schwk001,"Kyle Schwarber",1,2,7
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,happi001,"Ian Happ",1,5,4
start,heywj001,"Jason Heyward",1,6,9
start,baezj001,"Javier Baez",1,7,6
start,river003,"Rene Rivera",1,8,2
start,quinj001,"Jose Quintana",1,9,1
play,1,0,harrj002,12,CFBS,K
play,1,0,rodrs002,20,BBX,S9/F
play,1,0,mccua001,00,X,S13/L.1-2
play,1,0,bellj005,22,*BFC*BFFS,K
play,1,0,freed001,21,CBBX,S8/L+.2-H;1-3
play,1,0,marts002,02,FCH,HP.1-2
play,1,0,mercj002,02,CSH,HP.3-H;2-3;1-2
play,1,0,stewc001,12,BCCFFS,K
play,1,1,jay-j001,22,BCBFX,S7/G
play,1,1,schwk001,12,FBFS,K+WP.1-2
play,1,1,bryak001,32,CBFFBF*BB,W
play,1,1,rizza001,22,F*BSFBFFFX,7/F
play,1,1,happi001,12,BFFX,S9/L.2-H;1-3;B-2(TH)
play,1,1,heywj001,01,CX,43/G+
play,2,0,novai001,02,CCFFS,K
play,2,0,harrj002,02,SSS,K
play,2,0,rodrs002,22,CCBBS,K
play,2,1,baezj001,20,BBX,E5/G
play,2,1,river003,00,1>S,SB2.1-3(E2/TH)
play,2,1,river003,02,1>S.SS,K
play,2,1,quinj001,10,>B+3,SBH(UR)
play,2,1,quinj001,32,>B+3.BCBSC,K
play,2,1,jay-j001,12,CFFFBS,K
play,3,0,mccua001,22,FBCBFX,8/F+
play,3,0,bellj005,00,X,8/L+
play,3,0,freed001,02,CCC,K
play,3,1,schwk001,02,CSC,K
