id,CHN201709020
version,2
info,visteam,ATL
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/02
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,gonzm901
info,ump1b,carlm901
info,ump2b,buckc901
info,ump3b,culbf901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,71
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,229
info,attendance,41329
info,wp,lestj001
info,lp,simsl001
info,save,
start,incie001,"Ender Inciarte",0,1,8
start,albio001,"Ozzie Albies",0,2,4
start,freef001,"Freddie Freeman",0,3,3
start,kempm001,"Matt Kemp",0,4,7
start,markn001,"Nick Markakis",0,5,9
start,suzuk001,"Kurt Suzuki",0,6,2
start,swand001,"Dansby Swanson",0,7,6
start,ruizr002,"Rio Ruiz",0,8,5
start,simsl001,"Lucas Sims",0,9,1
start,jay-j001,"Jon Jay",1,1,8
start,schwk001,"Kyle Schwarber",1,2,7
start,bryak001,"Kris Bryant",1,3,5
start,rizza001,"Anthony Rizzo",1,4,3
start,zobrb001,"Ben Zobrist",1,5,4
start,baezj001,"Javier Baez",1,6,6
start,heywj001,"Jason Heyward",1,7,9
start,river003,"Rene Rivera",1,8,2
start,lestj001,"Jon Lester",1,9,1
play,1,0,incie001,22,BBCSX,S7/L
play,1,0,albio001,12,CFB>B,SB2
play,1,0,albio001,32,CFB>B.FF*BB,W
play,1,0,freef001,12,SBCFS,K
play,1,0,kempm001,32,BTBFB>F>X,S8/F.2-3;1-2
play,1,0,markn001,32,CBBFBS,K
play,1,0,suzuk001,00,X,2/P2F
play,1,1,jay-j001,02,CFS,K
play,1,1,schwk001,31,BFBBX,6/P
play,1,1,bryak001,22,CBFBT,K
play,2,0,swand001,32,BCBFBX,13/G
play,2,0,ruizr002,22,BCFFBS,K
play,2,0,simsl001,12,CBSX,23/G-
play,2,1,rizza001,11,CBX,S8/L+
play,2,1,zobrb001,30,BBBB,W.1-2
play,2,1,baezj001,02,FFS,K
play,2,1,heywj001,32,BTBBFB,W.2-3;1-2
play,2,1,river003,02,CSX,HR/7/F.3-H;2-H;1-H
play,2,1,lestj001,20,BBX,S9/G
play,2,1,jay-j001,22,FBBSS,K
play,2,1,schwk001,11,CBX,S9/G.1-2
play,2,1,bryak001,11,CBX,9/F
play,3,0,incie001,12,CFBX,63/G
play,3,0,albio001,12,CFBX,S8/L+
play,3,0,freef001,00,X,HR/8/F.1-H
play,3,0,kempm001,00,X,HR/78/F
play,3,0,markn001,02,CSX,D7/L
play,3,0,suzuk001,11,FBX,53/G
play,3,0,swand001,20,BBX,8/F
play,3,1,rizza001,12,CBFX,6/P
play,3,1,zobrb001,21,BCBX,9/F
play,3,1,baezj001,22,CSBBX,HR/78/F
play,3,1,heywj001,30,BBBB,W
play,3,1,river003,10,1B1X,9/F
play,4,0,ruizr002,21,CBBX,HR/8/F
play,4,0,simsl001,21,BBCX,9/L
play,4,0,incie001,11,BCX,43/G
play,4,0,albio001,11,BSX,S8/L
play,4,0,freef001,00,X,13/G-
play,4,1,lestj001,30,BBBB,W
play,4,1,jay-j001,02,CCFX,S7/L.1-2
play,4,1,schwk001,00,,NP
sub,kroli001,"Ian Krol",0,9,1
play,4,1,schwk001,32,.FBSBBB,W.2-3;1-2
play,4,1,bryak001,02,SSS,K
play,4,1,rizza001,11,BFX,T8/L+.3-H;2-H;1-H
play,4,1,zobrb001,01,CX,9/F
play,4,1,baezj001,11,BSX,D7/L.3-H
play,4,1,heywj001,21,B*BCX,S7/L.2-H
play,4,1,river003,12,FFBFX,13/G
play,5,0,kempm001,01,CX,8/F+
