id,CHN201709080
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/08
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,mealj901
info,ump1b,kulpr901
info,ump2b,conrc901
info,ump3b,blakr901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,65
info,winddir,rtol
info,windspeed,8
info,fieldcond,unknown
info,precip,unknown
info,sky,unknown
info,timeofgame,171
info,attendance,41020
info,wp,nelsj004
info,lp,lackj001
info,save,knebc001
start,thame001,"Eric Thames",0,1,3
start,walkn001,"Neil Walker",0,2,4
start,braur002,"Ryan Braun",0,3,7
start,shawt001,"Travis Shaw",0,4,5
start,santd002,"Domingo Santana",0,5,9
start,vogts001,"Stephen Vogt",0,6,2
start,broxk001,"Keon Broxton",0,7,8
start,arcio002,"Orlando Arcia",0,8,6
start,nelsj004,"Jimmy Nelson",0,9,1
start,jay-j001,"Jon Jay",1,1,7
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,zobrb001,"Ben Zobrist",1,4,4
start,avila001,"Alex Avila",1,5,2
start,happi001,"Ian Happ",1,6,8
start,heywj001,"Jason Heyward",1,7,9
start,baezj001,"Javier Baez",1,8,6
start,lackj001,"John Lackey",1,9,1
play,1,0,thame001,22,BFCBX,D7/L
play,1,0,walkn001,32,CFF*BBBX,63/G-.2-3
play,1,0,braur002,01,FX,HR/8/F.3-H
play,1,0,shawt001,00,X,8/F+
play,1,0,santd002,22,SBSBX,9/F
play,1,1,jay-j001,12,CFBS,K
play,1,1,bryak001,32,CSBBFBX,53/G
play,1,1,rizza001,12,CBSS,K
play,2,0,vogts001,22,CSBBX,31/G
play,2,0,broxk001,11,BCX,S9/F
play,2,0,arcio002,02,FSX,8/L
play,2,0,nelsj004,01,FS,WP.1-2
play,2,0,nelsj004,02,FS.S,K
play,2,1,zobrb001,01,CX,D7/L
play,2,1,avila001,02,CSS,K
play,2,1,happi001,10,BB,WP.2-3
play,2,1,happi001,21,BB.CX,13/G-
play,2,1,heywj001,31,B*BFBB,W
play,2,1,baezj001,10,BX,8/L
play,3,0,thame001,22,CBFBS,K
play,3,0,walkn001,20,BBX,7/F
play,3,0,braur002,01,FH,HP
play,3,0,shawt001,01,CX,6(1)/FO/G
play,3,1,lackj001,02,CCFC,K
play,3,1,jay-j001,21,BBFX,7/L
play,3,1,bryak001,22,BSBSX,S9/G-
play,3,1,rizza001,12,CFB>X,S9/L+.1-3
play,3,1,zobrb001,32,BCB*BC>C,K
play,4,0,santd002,12,FFBS,K
