id,CHN201709300
version,2
info,visteam,CIN
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/30
info,number,0
info,starttime,3:05PM
info,daynight,day
info,usedh,false
info,umphome,wintm901
info,ump1b,fostm901
info,ump2b,tumpj901
info,ump3b,muchm901
info,howscored,park
info,pitches,pitches
info,oscorer,speaa701
info,temp,65
info,winddir,fromrf
info,windspeed,11
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,184
info,attendance,41493
info,wp,lestj001
info,lp,stepj002
info,save,
start,hamib001,"Billy Hamilton",0,1,8
start,suare001,"Eugenio Suarez",0,2,5
start,vottj001,"Joey Votto",0,3,3
start,genns001,"Scooter Gennett",0,4,4
start,duvaa001,"Adam Duvall",0,5,7
start,sches001,"Scott Schebler",0,6,9
start,peraj003,"Jose Peraza",0,7,6
start,turns002,"Stuart Turner",0,8,2
start,stepj002,"Jackson Stephens",0,9,1
start,happi001,"Ian Happ",1,1,8
start,bryak001,"Kris Bryant",1,2,5
start,rizza001,"Anthony Rizzo",1,3,3
start,contw001,"Willson Contreras",1,4,2
start,schwk001,"Kyle Schwarber",1,5,7
start,russa002,"Addison Russell",1,6,6
start,heywj001,"Jason Heyward",1,7,9
start,baezj001,"Javier Baez",1,8,4
start,lestj001,"Jon Lester",1,9,1
play,1,0,hamib001,00,X,6/P
play,1,0,suare001,31,BBBCX,7/F
play,1,0,vottj001,22,BCBSC,K
play,1,1,happi001,30,BBBB,W
play,1,1,bryak001,02,CSS,K
play,1,1,rizza001,32,BFBF1B>F>F>F>S,K+CS2(26)/DP
play,2,0,genns001,22,BSBFC,K
play,2,0,duvaa001,32,CBBBFX,S9/L
play,2,0,sches001,32,BCBF*B>F>FX,9/L+
play,2,0,peraj003,01,FX,S8/L+.1-2
play,2,0,turns002,00,X,7/F
play,2,1,contw001,11,BCX,S9/L
play,2,1,schwk001,00,X,HR/8/F.1-H
play,2,1,russa002,12,CFBFX,13/G
play,2,1,heywj001,22,CBFBX,6/P
play,2,1,baezj001,22,SFBBX,3/P3F
play,3,0,stepj002,32,FBBSBFX,8/F+
play,3,0,hamib001,22,BCFBS,K
play,3,0,suare001,22,CBBSC,K
play,3,1,lestj001,02,FCC,K
play,3,1,happi001,32,SCBBFFBB,W
play,3,1,bryak001,00,X,S3/G-.1-2
play,3,1,rizza001,02,FCS,K
play,3,1,contw001,22,BCSFBB,WP.2-3
play,3,1,contw001,32,BCSFBB.>B,W.1-2
play,3,1,schwk001,31,BBBCX,S8/F.3-H;2-H;1-3
play,3,1,russa002,02,FSS,K
play,4,0,vottj001,00,,NP
sub,carav001,"Victor Caratini",1,3,3
play,4,0,vottj001,32,.BCBSBS,K
play,4,0,genns001,00,X,63/G
play,4,0,duvaa001,01,CX,DGR/7/L
